id;sales_order_number;customer_id;placed;cancelled;shipped;completed;status
1;withdrawal withdrawal Internal;Metal generate;2022-04-09T10:40:57;2022-04-09T19:14:17;2022-04-09T09:14:54;2022-04-09T11:00:43;CANCELLED
2;Agent;Soft Kina;2022-04-09T20:38:41;2022-04-09T03:11:04;2022-04-09T15:21:51;2022-04-09T19:13:00;COMPLETED
3;infomediaries;archive Liberia;2022-04-09T10:56:34;2022-04-09T19:12:16;2022-04-09T22:38:55;2022-04-09T11:35:29;PENDING
4;Dynamic strategic;Buckinghamshire Lead XSS;2022-04-09T17:58:55;2022-04-09T10:23:39;2022-04-09T11:30:41;2022-04-09T21:32:41;COMPLETED
5;payment;fuchsia;2022-04-09T05:02:15;2022-04-09T11:46:33;2022-04-10T00:28:59;2022-04-09T17:26:57;SHIPPED
6;Analyst;Baht red;2022-04-09T04:07:25;2022-04-09T18:18:27;2022-04-09T19:55:17;2022-04-09T04:15:01;SHIPPED
7;Unbranded eyeballs;red forecast Facilitator;2022-04-09T21:25:10;2022-04-09T12:29:16;2022-04-09T15:55:09;2022-04-09T12:27:33;CANCELLED
8;Sausages;Grocery;2022-04-09T14:33:49;2022-04-09T11:43:38;2022-04-09T21:30:00;2022-04-09T11:44:37;SHIPPED
9;redundant;Synergized Steel;2022-04-09T21:14:51;2022-04-09T18:58:20;2022-04-09T16:51:17;2022-04-09T04:24:45;COMPLETED
10;invoice;Quality-focused invoice;2022-04-09T15:49:10;2022-04-10T00:30:25;2022-04-09T03:56:05;2022-04-09T10:00:33;PENDING
