id;name;sku;taxable;gros_weight;shipped;delivered;status;quantity;unit_price;amount
1;structure Response challenge;Networked Kenya;false;6455;2022-04-09;2022-04-09;OUTOFSTOCK;9971;8106;77794
2;Fresh platforms system;FTP Regional Vision-oriented;true;2794;2022-04-09;2022-04-09;OUTOFSTOCK;25585;54786;22705
3;generating Toys mobile;digital tertiary;true;41877;2022-04-09;2022-04-09;DELIVERED;45868;35565;31986
4;Mobility Cambridgeshire;Palladium Michigan;false;71515;2022-04-09;2022-04-09;DELIVERED;45811;10182;59264
5;Account;Beauty Orchestrator;false;55964;2022-04-09;2022-04-09;PENDING;50269;69262;12099
6;Market bandwidth Cape;neural;false;95655;2022-04-09;2022-04-09;PENDING;45115;20868;70216
7;Health Borders Games;PNG Granite;false;86061;2022-04-09;2022-04-09;DELIVERED;40724;8763;69247
8;focus;Outdoors iterate South;false;61050;2022-04-09;2022-04-09;DELIVERED;1628;92134;85087
9;Practical;concept SDD;true;42309;2022-04-09;2022-04-09;COMPLAINED;13457;62426;31251
10;partnerships scale;Specialist Pizza Rustic;false;86849;2022-04-09;2022-04-10;OUTOFSTOCK;69117;25650;11176
