id;name;sku;description;srp;taxable;sales_unit;sales_quantity;status;gros_weight;net_weight;length;width;height
1;Steel;Assistant;cross-platform Principal;35091;false;LITER;69097;ONSALE;9665;76146;89830;76808;92572
2;magenta THX;THXXXX;Centers Metal navigating;57853;false;PIECE;32061;INREPLENISHMENT;54662;46442;91058;85179;82822
3;New;green Malagasy;Lao;29161;true;PIECE;4184;ONSALE;23281;6446;78661;16911;11502
4;CFP orange;Village;distributed indigo JSON;55869;true;LITER;20809;ONSALE;5182;54741;15779;40746;27546
5;homogeneous Crossroad;Chips De-engineered Tunnel;Intelligent;88292;true;GRAM;4722;LOCKED;60076;78380;83666;68319;16934
6;rich South Forward;Stand-alone Fantastic Sleek;AGP lavender;71562;true;KILOGRAM;21464;LOCKED;45572;31592;85040;2593;91780
7;systems Gorgeous;BrandX;Plastic Cambridgeshire;16025;false;LITER;31837;OOUTOFSTOCK;93272;51985;99958;6909;788
8;Dinar;Mobility Arkansas Kids;programming Algeria Rustic;21940;true;PIECE;26210;INREPLENISHMENT;33918;80631;85001;10899;41751
9;Solutions Tuvalu online;Checking Coordinator;Product;64290;true;KILOGRAM;32685;OOUTOFSTOCK;94054;10382;47027;67453;17338
10;B2C;bypassing Gateway Virtual;index Account Concrete;32973;false;LITER;82670;INREPLENISHMENT;65021;19001;34015;26900;16465
